,1,2,5,10,20,50,100,200,500,1000,2000,5000,10000
2,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0366,0.0367,0.0369,0.0369,0.0369
5,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0366,0.0366,0.0369,0.0369,0.0388,0.0388
10,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0366,0.0367,0.0369,0.0369,0.0369,0.0388,0.0388
20,0.0365,0.0365,0.0365,0.0365,0.0365,0.0366,0.0367,0.0369,0.0369,0.0369,0.0388,0.0388,0.0388
50,0.0365,0.0365,0.0365,0.0365,0.0366,0.0366,0.0369,0.0369,0.0388,0.0388,0.0388,0.0485,0.0485
100,0.0365,0.0365,0.0365,0.0366,0.0367,0.0369,0.0369,0.0369,0.0388,0.0388,0.0388,0.0485,0.097
200,0.0365,0.0365,0.0366,0.0367,0.0369,0.0369,0.0369,0.0388,0.0388,0.0388,0.0388,0.097,0.1941
500,0.0365,0.0366,0.0366,0.0369,0.0369,0.0388,0.0388,0.0388,0.0485,0.0485,0.097,0.2426,0.4851
1000,0.0366,0.0367,0.0369,0.0369,0.0369,0.0388,0.0388,0.0388,0.0485,0.097,0.194,0.4852,0.9703
