,1,2,5,10,20,50,100,200,500,1000,2000,5000,10000
2,126.17,126.21,126.17,126.37,126.77,127.56,127.56,127.56,139.52,159.45,159.45,199.32,398.64
5,50.47,50.47,50.63,50.63,51.03,51.82,51.82,55.81,59.8,79.73,79.73,199.32,398.64
10,25.23,25.27,25.31,25.51,25.51,25.91,27.9,31.89,39.86,39.86,79.73,199.32,398.64
20,12.64,12.68,12.76,12.76,12.76,13.95,15.95,15.95,19.93,39.86,79.73,199.32,398.64
50,5.06,5.1,5.18,5.18,5.58,5.98,7.97,7.97,19.93,39.86,79.73,199.32,398.64
100,2.55,2.55,2.59,2.79,3.19,3.99,3.99,7.97,19.93,39.86,79.73,199.32,398.64
200,1.28,1.28,1.4,1.59,1.59,1.99,3.99,7.97,19.93,39.86,79.73,199.32,398.64
500,0.52,0.56,0.6,0.8,0.8,1.99,3.99,7.97,19.93,39.86,79.73,199.32,398.64
1000,0.28,0.32,0.4,0.4,0.8,1.99,3.99,7.97,19.93,39.86,79.73,199.32,398.64
